document_id,title,file_name,authority_code,policy_level,issuing_authority,document_number,issue_date,effective_date,expiry_date,status,region,topic,subtopic,beneficiary_side,confidentiality,source_url,local_file,version,supersedes,superseded_by
POL-001,《深圳市支持虚拟电厂加快发展的若干措施》政策解读,《深圳市支持虚拟电厂加快发展的若干措施》政策解读.doc,GOV_POLICY,MUNICIPAL,深圳市发展和改革委员会,,2024-06-24,,,UNKNOWN,深圳市,VPP,INTERPRETATION,政策适用主体见原文,PUBLIC,https://www.sz.gov.cn/zfgb/zcjd/content/post_11390743.html,政策文件/《深圳市支持虚拟电厂加快发展的若干措施》政策解读.doc,V0.3-A seed,,
POL-002,关于加快推进虚拟电厂发展的指导意见,【关于加快推进虚拟电厂发展的指导意见(发改能源〔2025〕357号)】-国家发展和改革委员会.html,GOV_POLICY,NATIONAL,国家发展改革委、国家能源局,发改能源〔2025〕357号,2025-04-11,,,EFFECTIVE,全国,VPP,GUIDELINE,政策适用主体见原文,PUBLIC,https://www.nea.gov.cn/20250411/94a805e55f064493901cab6196e0448d/c.html,政策文件/【关于加快推进虚拟电厂发展的指导意见(发改能源〔2025〕357号)】-国家发展和改革委员会.html,V0.3-A seed,,
POL-003,关于建立健全电力辅助服务市场价格机制的通知,关于建立健全电力辅助服务市场价格机制的通知(发改价格〔2024〕196号)_政府信息公开_政务公开-国家发展改革委.html,GOV_POLICY,NATIONAL,国家发展改革委、国家能源局,发改价格〔2024〕196号,2024-02-07,,,EFFECTIVE,全国,AUXILIARY_SERVICE,NOTICE,政策适用主体见原文,PUBLIC,,政策文件/关于建立健全电力辅助服务市场价格机制的通知(发改价格〔2024〕196号)_政府信息公开_政务公开-国家发展改革委.html,V0.3-A seed,,
POL-004,南方（以广东起步）电力现货市场建设实施方案（试行）,南方(以广东起步)电力现货市场建设实施方案(试行).pdf,GOV_POLICY,REGIONAL,国家发展改革委、国家能源局等,,,,,UNKNOWN,南方区域/广东,MARKET_RULE,IMPLEMENTATION_PLAN,政策适用主体见原文,PUBLIC,,政策文件/南方(以广东起步)电力现货市场建设实施方案(试行).pdf,V0.3-A seed,,
POL-005,国家能源局关于促进新型储能并网和调度运用的通知,国家能源局关于促进新型储能并网和调度运用的通知 国能发科技规〔2024〕26号-国家能源局网站.html,GOV_POLICY,NATIONAL,国家能源局,国能发科技规〔2024〕26号,2024-04-02,,,EFFECTIVE,全国,STORAGE_OPERATION,NOTICE,政策适用主体见原文,PUBLIC,https://www.nea.gov.cn/2024-04/02/c_1310770214.htm,政策文件/国家能源局关于促进新型储能并网和调度运用的通知 国能发科技规〔2024〕26号-国家能源局网站.html,V0.3-A seed,,
POL-006,广东电力市场中长期电能量交易实施细则（2026年修订）,广东电力市场中长期电能量交易实施细则（2026 年修订）.pdf,IMPLEMENTATION_RULE,PROVINCIAL,广东电力交易中心等,,,,,UNKNOWN,广东省,MARKET_RULE,IMPLEMENTATION_RULE,政策适用主体见原文,PUBLIC,,政策文件/广东电力市场中长期电能量交易实施细则（2026 年修订）.pdf,V0.3-A seed,,
POL-007,广东电力市场信息披露管理实施细则（2026年修订）,广东电力市场信息披露管理实施细则.pdf,IMPLEMENTATION_RULE,PROVINCIAL,广东电力交易中心等,,,,,UNKNOWN,广东省,DATA_DISCLOSURE,IMPLEMENTATION_RULE,政策适用主体见原文,PUBLIC,,政策文件/广东电力市场信息披露管理实施细则.pdf,V0.3-A seed,,
POL-008,广东电力市场注册实施细则（2026年修订）,广东电力市场注册实施细则.pdf,IMPLEMENTATION_RULE,PROVINCIAL,广东电力交易中心等,,,,,UNKNOWN,广东省,MARKET_ACCESS,IMPLEMENTATION_RULE,政策适用主体见原文,PUBLIC,,政策文件/广东电力市场注册实施细则.pdf,V0.3-A seed,,
POL-009,广东电力市场现货电能量交易实施细则（2026年修订）,广东电力市场现货电能量交易实施细则.pdf,IMPLEMENTATION_RULE,PROVINCIAL,广东电力交易中心等,,,,,UNKNOWN,广东省,MARKET_RULE,IMPLEMENTATION_RULE,政策适用主体见原文,PUBLIC,,政策文件/广东电力市场现货电能量交易实施细则.pdf,V0.3-A seed,,
POL-010,广东电力现货市场结算实施细则（2026年修订）,广东电力现货市场结算实施细则.pdf,IMPLEMENTATION_RULE,PROVINCIAL,广东电力交易中心等,,,,,UNKNOWN,广东省,MARKET_RULE,IMPLEMENTATION_RULE,政策适用主体见原文,PUBLIC,,政策文件/广东电力现货市场结算实施细则.pdf,V0.3-A seed,,
POL-011,广东省关于进一步完善我省峰谷分时电价政策有关问题的通知,广东省关于进一步完善我省峰谷分时电价政策有关问题的通知.pdf,GOV_POLICY,PROVINCIAL,广东省发展和改革委员会,粤发改价格〔2021〕331号,2021-09-26,,,UNKNOWN,广东省,TARIFF,NOTICE,政策适用主体见原文,PUBLIC,,政策文件/广东省关于进一步完善我省峰谷分时电价政策有关问题的通知.pdf,V0.3-A seed,,
POL-012,广东省新型储能电站建设运行管理办法,广东省发展改革委关于印发广东省新型储能电站建设运行管理办法的通知_汕尾市发展和改革局.html,GOV_POLICY,PROVINCIAL,广东省发展和改革委员会,,,,,UNKNOWN,广东省,STORAGE_OPERATION,MANAGEMENT_MEASURE,政策适用主体见原文,PUBLIC,,政策文件/广东省发展改革委关于印发广东省新型储能电站建设运行管理办法的通知_汕尾市发展和改革局.html,V0.3-A seed,,
POL-013,广东省市场化需求响应实施细则（修订版）,广东省市场化需求响应实施细则修订版（图像版）.pdf,IMPLEMENTATION_RULE,PROVINCIAL,广东省有关主管部门,,,,,UNKNOWN,广东省,DEMAND_RESPONSE,IMPLEMENTATION_RULE,政策适用主体见原文,PUBLIC,,政策文件/广东省市场化需求响应实施细则修订版（图像版）.pdf,V0.3-A seed,,
POL-014,2025年12月—2026年广东省骨干电源项目投产计划,广东省能源投资2026.pdf,GOV_POLICY,PROVINCIAL,广东省有关主管部门,,,,,UNKNOWN,广东省,STRATEGY,PROJECT_PLAN,政策适用主体见原文,PUBLIC,,政策文件/广东省能源投资2026.pdf,V0.3-A seed,,
POL-015,广东省虚拟电厂参与电力市场交易实施方案,广东省虚拟电厂参与电力市场交易实施方案.pdf,GOV_POLICY,PROVINCIAL,广东省能源局,粤能电力〔2024〕48号,2024-12-31,,,UNKNOWN,广东省,VPP,IMPLEMENTATION_PLAN,政策适用主体见原文,PUBLIC,,政策文件/广东省虚拟电厂参与电力市场交易实施方案.pdf,V0.3-A seed,,
POL-016,广东虚拟电厂参与电能量交易实施细则（试行）,广东虚拟电厂参与电能量交易实施细则（试行）.pdf,IMPLEMENTATION_RULE,PROVINCIAL,广东电力交易中心,广东交易〔2025〕152号附件1,2025-06-27,,,EFFECTIVE,广东省,VPP,IMPLEMENTATION_RULE,政策适用主体见原文,PUBLIC,,政策文件/广东虚拟电厂参与电能量交易实施细则（试行）.pdf,V0.3-A seed,,
POL-017,广东虚拟电厂运营管理实施细则（试行）,广东虚拟电厂运营管理实施细则（试行）.pdf,IMPLEMENTATION_RULE,PROVINCIAL,广东电力交易中心,广东交易〔2025〕152号附件2,2025-06-27,,,EFFECTIVE,广东省,VPP,IMPLEMENTATION_RULE,政策适用主体见原文,PUBLIC,,政策文件/广东虚拟电厂运营管理实施细则（试行）.pdf,V0.3-A seed,,
POL-018,新型储能规模化建设专项行动方案（2025—2027年）,新型储能规模化建设专项行动方案（2025—2027 年）.pdf,GOV_POLICY,NATIONAL,国家发展改革委、国家能源局等,,,,2027-12-31,EFFECTIVE,全国,STORAGE_OPERATION,ACTION_PLAN,政策适用主体见原文,PUBLIC,,政策文件/新型储能规模化建设专项行动方案（2025—2027 年）.pdf,V0.3-A seed,,
POL-019,深圳市光明区关于支持新型储能产业加快发展的若干措施（修订版）,深圳市光明区关于支持新型储能产业.doc,GOV_POLICY,DISTRICT,深圳市光明区发展和改革局,,,,2027-09-12,DRAFT,深圳市光明区,INCENTIVE,DRAFT,政策适用主体见原文,PUBLIC,,政策文件/深圳市光明区关于支持新型储能产业.doc,V0.3-A seed,,
POL-020,深圳市支持虚拟电厂加快发展的若干措施,深圳市发展和改革委员会关于印发《深圳市支持虚拟电厂加快发展的若干措施》的通知--2024年第22期（总第1337期）.html,GOV_POLICY,MUNICIPAL,深圳市发展和改革委员会,,2024-06-24,2024-06-24,,EFFECTIVE,深圳市,VPP,MANAGEMENT_MEASURE,政策适用主体见原文,PUBLIC,https://www.sz.gov.cn/attachment/1/1458/1458561/11390684.pdf,政策文件/深圳市发展和改革委员会关于印发《深圳市支持虚拟电厂加快发展的若干措施》的通知--2024年第22期（总第1337期）.html,V0.3-A seed,,
POL-021,深圳市绿色低碳产业指导目录,深圳市绿色低碳产业指导目录.pdf,GOV_POLICY,MUNICIPAL,深圳市有关主管部门,,,,,UNKNOWN,深圳市,GREEN_FINANCE,CATALOGUE,政策适用主体见原文,PUBLIC,,政策文件/深圳市绿色低碳产业指导目录.pdf,V0.3-A seed,,
POL-022,电力中长期市场基本规则,电力中长期市场基本规则.pdf,GOV_POLICY,NATIONAL,国家发展改革委、国家能源局,,,,,EFFECTIVE,全国,MARKET_RULE,BASIC_RULE,政策适用主体见原文,PUBLIC,,政策文件/电力中长期市场基本规则.pdf,V0.3-A seed,,
POL-023,电力市场运行基本规则,电力市场运行基本规则.pdf,GOV_POLICY,NATIONAL,国家发展改革委,国家发展改革委2024年第20号令,2024-05-01,2024-07-01,,EFFECTIVE,全国,MARKET_RULE,BASIC_RULE,政策适用主体见原文,PUBLIC,,政策文件/电力市场运行基本规则.pdf,V0.3-A seed,,
POL-024,电力负荷管理办法（2023年版）,电力负荷管理办法（2023 年版）.pdf,GOV_POLICY,NATIONAL,国家发展改革委,,2023-09-01,2023-10-01,,EFFECTIVE,全国,DEMAND_RESPONSE,MANAGEMENT_MEASURE,政策适用主体见原文,PUBLIC,,政策文件/电力负荷管理办法（2023 年版）.pdf,V0.3-A seed,,
POL-025,电力辅助服务市场基本规则,电力辅助服务市场基本规则.pdf,GOV_POLICY,NATIONAL,国家能源局,,,,,EFFECTIVE,全国,AUXILIARY_SERVICE,BASIC_RULE,政策适用主体见原文,PUBLIC,,政策文件/电力辅助服务市场基本规则.pdf,V0.3-A seed,,
POL-026,电力需求侧管理办法（2023年版）,电力需求侧管理办法（2023 年版）.pdf,GOV_POLICY,NATIONAL,国家发展改革委、国家能源局,,2023-08-01,,,EFFECTIVE,全国,DEMAND_RESPONSE,MANAGEMENT_MEASURE,政策适用主体见原文,PUBLIC,,政策文件/电力需求侧管理办法（2023 年版）.pdf,V0.3-A seed,,
POL-027,省级电网输配电价表（2026年8月归档）,省级电网输配价2026-8.pdf,GOV_POLICY,MULTI_PROVINCE,国家发展改革委价格主管部门,,,,,UNKNOWN,多省,TARIFF,REFERENCE_TABLE,政策适用主体见原文,PUBLIC,,政策文件/省级电网输配价2026-8.pdf,V0.3-A seed,,
POL-028,绿色金融支持项目目录（2025年版）,绿色金融支持项目目录（2025 年版）.pdf,GOV_POLICY,NATIONAL,中国人民银行、金融监管总局、中国证监会,,2025-06-27,2025-10-01,,EFFECTIVE,全国,GREEN_FINANCE,CATALOGUE,政策适用主体见原文,PUBLIC,https://www.pbc.gov.cn/goutongjiaoliu/113456/113469/5779612/2025071418513641380.pdf,政策文件/绿色金融支持项目目录（2025 年版）.pdf,V0.3-A seed,,
POL-029,数据中心绿色低碳发展专项行动计划,数据中心绿色低碳发展专项行动计划.pdf,GOV_POLICY,NATIONAL,国家发展改革委、工业和信息化部、国家能源局、国家数据局,发改环资〔2024〕970号,2024-07-03,2024-07-03,,EFFECTIVE,全国,DATA_CENTER,GREEN_LOW_CARBON,新建及改扩建数据中心,PUBLIC,https://zfxxgk.ndrc.gov.cn/web/iteminfo.jsp?id=20410,算力政策文件/数据中心绿色低碳发展专项行动计划.pdf,发改环资〔2024〕970号,,
POL-030,2026年度深圳市训力券申请指南,2026年度深圳市训力券申请指南.docx,APPLICATION_GUIDE,MUNICIPAL,深圳市科技创新局,,,2026-05-06,2026-06-05,EXPIRED,深圳市,COMPUTE_SUBSIDY,TRAINING_VOUCHER,深圳市企业、高等院校、科研机构等需求方,PUBLIC,,算力政策文件/2026年度深圳市训力券申请指南.docx,2026年度,,
